network,station,latitude,longitude,start_year,end_year,smap_lat,smap_lon,chirps25_lat,chirps25_lon,chirps05_lat,chirps05_lon,MAP,location,MEAN_PET,AI,era5_lat,era5_lon,MAT,LAI_max,LAI_mean
ARM,Tyro,37.068,-95.788,1996,2024,37.07728,-95.78838,37.125,-95.875,37.074997,-95.775,1055.803466796875,"('ARM', 'Tyro')",1132.0811767578125,0.9326216957520744,37.25,-95.75,14.74118,3.44800006,1.1180758425265194
ARM,ValleyFloor,40.4622,-106.817,2010,2011,40.317745,-106.9917,40.375,-106.875,40.475,-106.825005,552.6288452148438,"('ARM', 'ValleyFloor')",771.6387939453125,0.716175559796971,40.25,-106.75,3.1279297,1.224000016,0.4078686400947265
ARM,Vici,36.061,-99.134,1996,2011,36.027473,-99.149376,36.125,-99.125,36.074997,-99.12501,724.3326416015625,"('ARM', 'Vici')",1422.28857421875,0.5092726291494198,36.25,-99.25,14.707947,1.680000024,0.7298735560703083
ARM,Waukomis,36.311,-97.928,2011,2024,36.375854,-98.029045,36.375,-97.875,36.324997,-97.925,817.1094360351562,"('ARM', 'Waukomis')",1316.78564453125,0.6205333718731656,36.25,-97.75,15.625824,4.168000104,1.1762306797294415
AWDN,Ainsworth,42.33,-99.49,2005,2010,42.185303,-99.52282,42.375,-99.375,42.324997,-99.475006,607.872802734375,"('AWDN', 'Ainsworth')",1033.5609130859375,0.5881344728095693,42.25,-99.25,8.987976,1.788000024,0.6210006568052634
AWDN,AllianceWest,42.01,-103.08,2004,2010,42.185303,-103.25726,42.125,-103.125,42.024994,-103.075005,400.0843811035156,"('AWDN', 'AllianceWest')",1133.119873046875,0.3530821324558703,42.25,-103.25,8.766602,1.256000024,0.4479602698033513
AWDN,Arthur,41.39,-101.31,2004,2010,41.431942,-101.390045,41.375,-101.375,41.374992,-101.325005,522.054931640625,"('AWDN', 'Arthur')",1117.905029296875,0.4669939914028119,41.25,-101.25,9.764343,1.4400000080000002,0.581092857589649
AWDN,Barta,42.14,-99.39,2002,2010,42.185303,-99.52282,42.125,-99.375,42.124992,-99.37501,604.245361328125,"('AWDN', 'Barta')",1038.48583984375,0.5818522873831765,42.25,-99.25,8.987976,1.6600000080000001,0.6011041925376103
AWDN,Beatrice,40.18,-96.56,2002,2005,40.317745,-96.53527,40.125,-96.625,40.174995,-96.575005,812.2267456054688,"('AWDN', 'Beatrice')",1115.3189697265625,0.7282461498925268,40.25,-96.75,11.627533,2.424000024,0.6559048957571535
AWDN,BruleNorthTable,41.09,-101.59,2007,2010,41.058483,-101.76349,41.125,-101.625,41.074997,-101.575005,514.2921142578125,"('AWDN', 'BruleNorthTable')",1142.1864013671875,0.4502698628194217,41.25,-101.75,9.712891,2.052000028,0.512722982091578
AWDN,Brunswick,42.21,-97.55,2004,2010,42.185303,-97.6556,42.125,-97.625,42.225,-97.525,702.470458984375,"('AWDN', 'Brunswick')",996.08447265625,0.7052318134335565,42.25,-97.75,9.348175,3.69600008,0.7059158286795006
AWDN,CedarPoint,41.12,-101.38,2004,2010,41.058483,-101.390045,41.125,-101.375,41.124992,-101.37501,487.9231567382813,"('AWDN', 'CedarPoint')",1139.5233154296875,0.4281818108779081,41.25,-101.25,9.764343,2.46400004,0.5863675164846829
AWDN,CentralCity,41.09,-97.58,2004,2010,41.058483,-97.6556,41.125,-97.625,41.074997,-97.575005,710.6119384765625,"('AWDN', 'CentralCity')",1061.9287109375,0.6691710386558949,41.25,-97.75,10.394836,3.168000048,0.771654287757444
AWDN,Champion,40.24,-101.43,2002,2010,40.317745,-101.390045,40.125,-101.375,40.225,-101.425,489.45220947265625,"('AWDN', 'Champion')",1187.8939208984375,0.4120336006959862,40.25,-101.25,10.868622,1.24400002,0.4326721001369211
AWDN,ClayCenter(SC),40.34,-98.08,2004,2010,40.317745,-98.029045,40.375,-98.125,40.324997,-98.075005,694.86865234375,"('AWDN', 'ClayCenter(SC)')",1115.676025390625,0.6228229669992772,40.25,-98.25,11.168213,3.160000056,0.731018204485129
AWDN,Concord(NE),42.23,-96.57,2005,2010,42.185303,-96.53527,42.125,-96.625,42.225,-96.575005,746.4634399414062,"('AWDN', 'Concord(NE)')",977.4271240234376,0.7637023994880533,42.25,-96.75,9.587372,3.6880000560000004,0.7853816440600723
AWDN,Cozad,40.58,-99.57,2004,2010,40.6871,-99.52282,40.625,-99.625,40.574997,-99.575005,619.4669189453125,"('AWDN', 'Cozad')",1090.4505615234375,0.5680834517429867,40.75,-99.75,10.159332,2.2280000319999997,0.5949409798613526
AWDN,Curtisunsta,40.38,-100.3,2002,2010,40.317745,-100.26971,40.375,-100.375,40.374992,-100.275,558.8150634765625,"('AWDN', 'Curtisunsta')",1141.522705078125,0.4895347775306121,40.25,-100.25,10.951843,2.096000028,0.6340254649529982
AWDN,Dickens,40.57,-100.59,2004,2005,40.6871,-100.64315,40.625,-100.625,40.574997,-100.575005,534.0767822265625,"('AWDN', 'Dickens')",1120.3046875,0.4767245805410079,40.75,-100.75,10.158417,1.7520000279999999,0.5899163548918009
AWDN,Elgin,41.56,-98.11,1999,2010,41.431942,-98.029045,41.625,-98.125,41.574997,-98.12501,675.6289672851562,"('AWDN', 'Elgin')",1013.0082397460938,0.6669530816990193,41.75,-98.25,9.46344,3.708000036,0.7377069856833081
